ref_id,site_code,service_date,category,sub_category,status_note,amount,comment
896606,STL-02,2026-03-16,Renewal,Standard,,179.02,bare
637669,BAL-11,2026-03-05,Intake,Priority,Escalated,623.21,prefixed
431597,BAL-11,2026-03-15,Renewal,Priority,Verified,851.16,unique
573205,BAL-11,2026-03-04,Appeal,Standard,Open,60.47,prefixed
791650,ARL-07,2026-03-05,Appeal,Standard,Open,515.99,unique
345522,ARL-07,2026-03-23,Intake,Standard,Closed,16,bare
810538,BAL-11,2026-03-24,Appeal,Standard,Verified,346.41,bare
557679,BAL-11,2026-03-07,Intake,Standard,Reviewed,163.98,bare
132183,ARL-07,2026-03-30,REF NOTE: Intake,Priority,Closed,97.37,bare
172176,STL-02,2026-03-30,Renewal,Standard,,155.79,prefixed
902073,ARL-07,2026-03-23,Renewal,Priority,Verified,288.53,bare
854743,ARL-07,2026-03-08,Renewal,Standard,Closed,678.42,first pass
451201,LOU-09,2026-03-29,Appeal,Priority,Closed,15.54,unique
824786,FFX-03,2026-03-11,REF NOTE: Intake,Standard,Verified,72.45,first pass
225480,ARL-07,2026-03-23,REF NOTE: Intake,Priority,Closed,47.12,prefixed
347758,BAL-11,2026-03-18,Appeal,Priority,Reviewed,183.65,bare
483828,FFX-03,2026-03-13,Renewal,Standard,Escalated,760.46,prefixed
554272,BAL-11,2026-03-16,Renewal,Standard,,335.27,bare
360083,BAL-11,2026-03-23,Renewal,Priority,,563.03,prefixed
431137,LOU-09,2026-03-18,Intake,Standard,Escalated,204.4,prefixed
327878,STL-02,2026-03-29,Appeal,Priority,Escalated,183.25,bare
635327,ARL-07,2026-03-23,REF NOTE: Intake,Priority,Open,505.58,first pass
206472,STL-02,2026-03-16,Intake,Priority,Escalated,789.96,prefixed
197755,BAL-11,2026-03-27,Appeal,Priority,Reviewed,657.8,bare
122034,STL-02,2026-03-17,Renewal,Priority,Verified,539.93,first pass
426854,STL-02,2026-03-22,REF NOTE: Intake,Priority,Verified,610.08,bare
867257,BAL-11,2026-03-20,REF NOTE: Intake,Standard,,340.81,prefixed
264091,LOU-09,2026-03-20,Appeal,Standard,Open,186.12,bare
997783,LOU-09,2026-03-07,Intake,Standard,,353.16,bare
317459,FFX-03,2026-03-25,Intake,Standard,Reviewed,283.87,first pass
781575,STL-02,2026-03-12,Intake,Priority,Open,807.46,unique
360088,LOU-09,2026-03-10,Renewal,Priority,Open,24.04,unique
119794,BAL-11,2026-03-18,Appeal,Priority,,861.66,bare
389704,FFX-03,2026-03-08,REF NOTE: Intake,Standard,Closed,115.86,first pass
929490,FFX-03,2026-03-14,Renewal,Standard,Escalated,520.31,prefixed
125827,FFX-03,2026-03-25,Intake,Standard,Closed,824.33,unique
478343,LOU-09,2026-03-27,REF NOTE: Intake,Priority,Closed,640.56,prefixed
780227,BAL-11,2026-03-07,Renewal,Standard,Escalated,644.43,prefixed
179936,FFX-03,2026-03-26,Renewal,Standard,Verified,93.04,bare
460604,BAL-11,2026-03-17,Renewal,Priority,Verified,171.43,unique
173560,STL-02,2026-03-10,REF NOTE: Intake,Standard,Reviewed,570.8,prefixed
891965,ARL-07,2026-03-18,Intake,Priority,Escalated,397.29,first pass
543856,FFX-03,2026-03-24,Renewal,Priority,Verified,958.49,prefixed
148984,ARL-07,2026-03-27,Appeal,Standard,Escalated,349.5,prefixed
273496,BAL-11,2026-03-08,Intake,Standard,,711.41,prefixed
217939,LOU-09,2026-03-09,REF NOTE: Intake,Priority,Closed,347.33,unique
158586,STL-02,2026-03-26,Renewal,Standard,Verified,243.04,first pass
139753,BAL-11,2026-03-11,REF NOTE: Intake,Priority,Open,299.32,first pass
514376,LOU-09,2026-03-14,Intake,Standard,Reviewed,786.08,bare
169920,LOU-09,2026-03-30,Appeal,Standard,Open,164.67,prefixed
121345,ARL-07,2026-03-20,REF NOTE: Intake,Priority,Closed,749.84,unique
995755,FFX-03,2026-03-10,REF NOTE: Intake,Standard,,598.27,bare
867157,BAL-11,2026-03-27,REF NOTE: Intake,Priority,Verified,933.5,unique
268024,LOU-09,2026-03-09,Renewal,Priority,Escalated,685.45,prefixed
862733,LOU-09,2026-03-16,REF NOTE: Intake,Priority,Reviewed,525.27,bare
339187,STL-02,2026-03-25,Appeal,Priority,,727.93,prefixed
874703,BAL-11,2026-03-24,Renewal,Priority,Open,91.08,unique
331292,ARL-07,2026-03-21,Appeal,Priority,Open,89.14,bare
852404,STL-02,2026-03-21,Appeal,Priority,Open,468.34,first pass
906539,FFX-03,2026-03-24,Renewal,Priority,Reviewed,855.97,first pass
136505,ARL-07,2026-03-21,Appeal,Standard,Reviewed,882.25,prefixed
832080,BAL-11,2026-03-13,REF NOTE: Intake,Priority,Reviewed,378.52,unique
996706,ARL-07,2026-03-11,Renewal,Priority,Reviewed,709.43,bare
907288,ARL-07,2026-03-25,Appeal,Standard,,852.05,first pass
197749,BAL-11,2026-03-17,Intake,Priority,,160.17,bare
220651,ARL-07,2026-03-20,REF NOTE: Intake,Priority,Verified,890.45,bare
811051,ARL-07,2026-03-28,REF NOTE: Intake,Priority,Closed,32.55,unique
709714,ARL-07,2026-03-11,Intake,Standard,Reviewed,281.87,first pass
283907,ARL-07,2026-03-09,REF NOTE: Intake,Priority,Verified,423.72,first pass
996176,FFX-03,2026-03-23,REF NOTE: Intake,Priority,Reviewed,730.56,prefixed
413025,STL-02,2026-03-26,Appeal,Standard,,444.4,unique
319230,ARL-07,2026-03-18,REF NOTE: Intake,Standard,Escalated,679.31,unique
101364,STL-02,2026-03-28,Intake,Standard,,166.75,bare
712153,LOU-09,2026-03-21,Intake,Priority,,221.14,unique
212883,FFX-03,2026-03-15,Intake,Priority,Verified,103.92,prefixed
207003,STL-02,2026-03-05,REF NOTE: Intake,Priority,Open,483.27,bare
319388,LOU-09,2026-03-19,Intake,Standard,Closed,847.4,unique
318039,LOU-09,2026-03-10,REF NOTE: Intake,Priority,Open,679.32,first pass
652490,BAL-11,2026-03-28,REF NOTE: Intake,Standard,Escalated,217.62,unique
832910,BAL-11,2026-03-18,Renewal,Standard,,644.3,prefixed
937550,FFX-03,2026-03-26,REF NOTE: Intake,Standard,Escalated,571.34,bare
614328,ARL-07,2026-03-08,Appeal,Standard,Reviewed,101.08,first pass
675440,BAL-11,2026-03-12,REF NOTE: Intake,Standard,Escalated,178.6,unique
165177,ARL-07,2026-03-09,Renewal,Priority,Reviewed,55.1,prefixed
836435,BAL-11,2026-03-24,REF NOTE: Intake,Standard,Reviewed,771.65,unique
372187,STL-02,2026-03-04,REF NOTE: Intake,Standard,Reviewed,616.93,first pass
992637,LOU-09,2026-03-31,Appeal,Priority,Closed,181.79,unique
133396,BAL-11,2026-03-18,Intake,Priority,,640.16,first pass
207696,FFX-03,2026-03-12,Appeal,Standard,Closed,137.39,bare
285573,ARL-07,2026-03-08,Renewal,Standard,,906.33,prefixed
649428,LOU-09,2026-03-16,Intake,Standard,Open,782.71,prefixed
976372,ARL-07,2026-03-11,Renewal,Priority,Closed,151.24,first pass
362428,ARL-07,2026-03-31,Appeal,Standard,Verified,794.2,unique
370774,ARL-07,2026-03-24,Renewal,Priority,,110.37,unique
383254,ARL-07,2026-03-30,Renewal,Standard,Escalated,383.93,prefixed
229402,LOU-09,2026-03-22,Renewal,Priority,Verified,458.82,unique
619377,ARL-07,2026-03-23,Renewal,Priority,Verified,272.27,bare
592385,LOU-09,2026-03-28,Intake,Priority,,166.1,prefixed
211208,STL-02,2026-03-15,Intake,Standard,Reviewed,431.46,first pass
970968,FFX-03,2026-03-16,Appeal,Priority,Reviewed,404.09,prefixed
579154,STL-02,2026-03-16,Renewal,Priority,Closed,110.59,prefixed
697235,BAL-11,2026-03-19,Intake,Standard,,900.92,unique
576908,STL-02,2026-03-07,Intake,Standard,Closed,181.93,first pass
708423,FFX-03,2026-03-10,Appeal,Priority,Verified,81.44,first pass
205428,ARL-07,2026-03-18,Renewal,Priority,Closed,41.21,bare
362944,LOU-09,2026-03-19,Renewal,Standard,Verified,671.78,prefixed
739801,BAL-11,2026-03-05,REF NOTE: Intake,Priority,Verified,262.11,unique
291083,FFX-03,2026-03-25,Appeal,Priority,,758.74,unique
144570,FFX-03,2026-03-26,Renewal,Standard,,572.99,first pass
522666,BAL-11,2026-03-20,Renewal,Standard,Reviewed,811.32,prefixed
588964,BAL-11,2026-03-22,REF NOTE: Intake,Standard,Verified,883.97,bare
365957,STL-02,2026-03-10,REF NOTE: Intake,Standard,Reviewed,510.43,first pass
133065,ARL-07,2026-03-25,Intake,Priority,Reviewed,451.77,prefixed
212332,BAL-11,2026-03-16,Appeal,Priority,Escalated,652.04,unique
522257,STL-02,2026-03-30,Renewal,Priority,Open,500.94,bare
262341,FFX-03,2026-03-14,Intake,Priority,Escalated,38.17,first pass
259622,FFX-03,2026-03-26,Renewal,Priority,,912.25,bare
192930,LOU-09,2026-03-14,Intake,Priority,Verified,439.63,first pass
738516,LOU-09,2026-03-18,REF NOTE: Intake,Standard,Reviewed,895.68,first pass
857886,LOU-09,2026-03-20,REF NOTE: Intake,Standard,,84.4,bare
374424,STL-02,2026-03-10,REF NOTE: Intake,Standard,,856.58,prefixed
146480,ARL-07,2026-03-06,Intake,Priority,Escalated,17.68,first pass
152577,STL-02,2026-03-11,Renewal,Priority,Closed,174.47,prefixed
123128,ARL-07,2026-03-18,Intake,Standard,,305.83,first pass
361654,LOU-09,2026-03-16,Intake,Standard,Verified,95.74,unique
404768,BAL-11,2026-03-14,REF NOTE: Intake,Standard,Open,768.72,unique
556354,FFX-03,2026-03-21,Renewal,Standard,Closed,910.4,first pass
851566,STL-02,2026-03-17,Appeal,Priority,,467.52,prefixed
421522,STL-02,2026-03-14,Appeal,Priority,Open,571.92,unique
170731,ARL-07,2026-03-20,Appeal,Priority,Escalated,930.38,unique
323291,FFX-03,2026-03-23,Appeal,Priority,Escalated,725.04,bare
393466,BAL-11,2026-03-31,REF NOTE: Intake,Standard,Verified,342.09,prefixed
340142,BAL-11,2026-03-09,Intake,Priority,Verified,43.62,bare
311316,ARL-07,2026-03-16,Intake,Standard,,70.16,prefixed
263849,LOU-09,2026-03-28,Appeal,Priority,,927.6,unique
867140,FFX-03,2026-03-13,Intake,Priority,Closed,754.67,bare
859717,ARL-07,2026-03-22,Intake,Standard,,59.89,unique
757443,FFX-03,2026-03-23,REF NOTE: Intake,Priority,Open,199.1,unique
926278,LOU-09,2026-03-31,REF NOTE: Intake,Priority,Open,440.86,bare
796728,STL-02,2026-03-22,Appeal,Standard,Reviewed,800.93,first pass
702574,LOU-09,2026-03-15,Appeal,Standard,Open,176.23,first pass
521366,BAL-11,2026-03-18,Appeal,Priority,Escalated,731.61,bare
455915,ARL-07,2026-03-06,Intake,Priority,Escalated,134.64,bare
536546,ARL-07,2026-03-21,REF NOTE: Intake,Priority,Reviewed,383.73,prefixed
938943,BAL-11,2026-03-12,Intake,Priority,Reviewed,271.69,prefixed
251956,LOU-09,2026-03-30,Renewal,Priority,Closed,258.09,first pass
707209,FFX-03,2026-03-31,Renewal,Priority,Escalated,860.77,first pass
666663,ARL-07,2026-03-05,Appeal,Standard,Open,863.27,bare
440943,FFX-03,2026-03-09,Appeal,Priority,Open,515.31,bare
986205,FFX-03,2026-03-07,Appeal,Standard,Closed,886.46,first pass
244625,FFX-03,2026-03-14,Intake,Priority,Verified,937.06,unique
823905,ARL-07,2026-03-29,Intake,Standard,Reviewed,796.53,first pass
103352,STL-02,2026-03-29,REF NOTE: Intake,Priority,Escalated,999.86,prefixed
917138,LOU-09,2026-03-04,Intake,Priority,Open,730.43,unique
541851,ARL-07,2026-03-25,Intake,Priority,Verified,563.83,first pass
999785,LOU-09,2026-03-10,Intake,Standard,Open,453.31,prefixed
671945,LOU-09,2026-03-10,Appeal,Standard,Verified,311.55,unique
188247,ARL-07,2026-03-20,REF NOTE: Intake,Priority,Verified,974.69,first pass
643178,ARL-07,2026-03-31,Intake,Priority,Reviewed,672.47,unique
582594,BAL-11,2026-03-13,Appeal,Priority,Verified,39.76,first pass
867985,LOU-09,2026-03-23,Intake,Priority,Escalated,336.92,prefixed
451585,LOU-09,2026-03-25,REF NOTE: Intake,Priority,Reviewed,830.95,bare
131303,STL-02,2026-03-10,Intake,Priority,Open,3.86,unique
340069,STL-02,2026-03-24,Appeal,Standard,Verified,334.38,bare
755060,BAL-11,2026-03-27,Appeal,Priority,Escalated,421.3,first pass
471088,ARL-07,2026-03-23,Appeal,Priority,,613.89,bare
400522,ARL-07,2026-03-05,Intake,Standard,Verified,793.31,unique
442558,STL-02,2026-03-17,Intake,Standard,Verified,747.31,first pass
758869,FFX-03,2026-03-22,Renewal,Standard,Escalated,588.25,first pass
925934,BAL-11,2026-03-12,Appeal,Priority,Closed,112.48,unique
631722,FFX-03,2026-03-14,Intake,Standard,Escalated,299.14,prefixed
301258,BAL-11,2026-03-17,Renewal,Standard,Reviewed,650.61,unique
809930,BAL-11,2026-03-08,Renewal,Standard,Open,905.02,first pass
282470,FFX-03,2026-03-19,Renewal,Standard,Verified,409.24,prefixed
513626,FFX-03,2026-03-21,Intake,Priority,Closed,553.54,unique
254051,ARL-07,2026-03-04,Intake,Priority,Open,195.39,first pass
846585,FFX-03,2026-03-21,REF NOTE: Intake,Priority,Verified,236.74,first pass
725567,BAL-11,2026-03-14,Intake,Priority,Open,309.39,bare
766236,ARL-07,2026-03-08,Appeal,Priority,Reviewed,137.38,bare
767197,LOU-09,2026-03-06,REF NOTE: Intake,Priority,,730.92,bare
486336,ARL-07,2026-03-20,Intake,Priority,Verified,570.05,bare
213515,ARL-07,2026-03-26,Renewal,Priority,Reviewed,581.45,bare
578855,ARL-07,2026-03-28,Appeal,Priority,Verified,484.45,prefixed
832019,ARL-07,2026-03-17,Intake,Priority,Open,371.93,bare
144954,STL-02,2026-03-17,Renewal,Standard,Closed,806.96,prefixed
994283,ARL-07,2026-03-12,Appeal,Standard,Open,282.18,prefixed
284237,STL-02,2026-03-26,Appeal,Standard,Closed,206.23,first pass
125620,FFX-03,2026-03-31,REF NOTE: Intake,Standard,,221.6,first pass
260359,FFX-03,2026-03-28,Appeal,Standard,Verified,430.55,first pass
456624,FFX-03,2026-03-04,REF NOTE: Intake,Priority,Escalated,541.58,first pass
960107,BAL-11,2026-03-14,Appeal,Standard,,194.8,prefixed
276151,STL-02,2026-03-19,Renewal,Standard,Verified,251.56,unique
255787,FFX-03,2026-03-14,Appeal,Priority,Verified,726.4,prefixed
714795,STL-02,2026-03-15,Renewal,Priority,Open,317.13,unique
565094,LOU-09,2026-03-10,Intake,Priority,Open,809.26,unique
820041,FFX-03,2026-03-13,Renewal,Standard,Closed,864.07,bare
958350,ARL-07,2026-03-27,Renewal,Standard,Reviewed,307.03,first pass
819884,BAL-11,2026-03-25,Intake,Standard,Escalated,791.56,first pass
683211,ARL-07,2026-03-31,REF NOTE: Intake,Standard,Closed,280.3,first pass
559400,FFX-03,2026-03-23,Renewal,Standard,Closed,717.64,first pass
778132,FFX-03,2026-03-19,REF NOTE: Intake,Priority,Closed,531.55,bare
673819,FFX-03,2026-03-30,REF NOTE: Intake,Standard,,284.98,first pass
485962,FFX-03,2026-03-04,Appeal,Standard,Verified,577.79,bare
935037,STL-02,2026-03-31,Intake,Priority,Verified,484.03,bare
134481,LOU-09,2026-03-15,REF NOTE: Intake,Priority,,38.37,bare
264848,FFX-03,2026-03-31,Appeal,Priority,Verified,779.34,prefixed
985422,STL-02,2026-03-23,Appeal,Standard,Verified,377.81,prefixed
713976,STL-02,2026-03-28,Intake,Priority,Verified,822.73,first pass
415665,ARL-07,2026-03-27,Intake,Standard,Verified,16.44,bare
794683,FFX-03,2026-03-20,Appeal,Standard,Escalated,412.33,unique
294208,FFX-03,2026-03-17,REF NOTE: Intake,Standard,Open,438.68,prefixed
441510,LOU-09,2026-03-30,Appeal,Standard,Open,8.61,unique
348001,BAL-11,2026-03-20,Renewal,Standard,,28.71,first pass
357476,ARL-07,2026-03-18,Renewal,Standard,Reviewed,587.65,bare
380662,FFX-03,2026-03-31,Renewal,Standard,,649.18,bare
855187,FFX-03,2026-03-20,Intake,Standard,Verified,328.9,prefixed
945916,BAL-11,2026-03-16,REF NOTE: Intake,Standard,Open,171.18,first pass
738148,BAL-11,2026-03-15,Appeal,Standard,Reviewed,669.93,bare
357322,LOU-09,2026-03-16,REF NOTE: Intake,Standard,Escalated,248.06,prefixed
567852,FFX-03,2026-03-14,Intake,Priority,Verified,577.7,prefixed
523771,STL-02,2026-03-08,Intake,Standard,Reviewed,102.18,first pass
151787,LOU-09,2026-03-06,Intake,Priority,Reviewed,585.21,prefixed
616635,FFX-03,2026-03-15,Renewal,Standard,Closed,230.01,bare
120185,FFX-03,2026-03-04,Intake,Priority,Open,719.29,unique
643040,BAL-11,2026-03-14,Intake,Priority,Escalated,8.38,unique
400922,FFX-03,2026-03-17,REF NOTE: Intake,Standard,,31.52,first pass
782760,ARL-07,2026-03-23,Intake,Standard,Escalated,751.46,first pass
180646,ARL-07,2026-03-12,REF NOTE: Intake,Standard,Reviewed,66.08,first pass
287977,STL-02,2026-03-23,REF NOTE: Intake,Priority,Escalated,887.85,first pass
842031,LOU-09,2026-03-23,Intake,Priority,Escalated,419.28,prefixed
836924,STL-02,2026-03-31,REF NOTE: Intake,Standard,Reviewed,428.58,unique
615476,STL-02,2026-03-07,Intake,Priority,Open,122.38,prefixed
860281,FFX-03,2026-03-22,Intake,Priority,Reviewed,624.91,first pass
765253,FFX-03,2026-03-22,Intake,Priority,,107.36,bare
927119,LOU-09,2026-03-21,Intake,Standard,,780.17,unique
481472,BAL-11,2026-03-16,Renewal,Priority,Open,582.62,unique
609139,LOU-09,2026-03-09,REF NOTE: Intake,Priority,,207.72,bare
954860,ARL-07,2026-03-21,Intake,Priority,Escalated,978.5,unique
673794,LOU-09,2026-03-12,REF NOTE: Intake,Priority,Escalated,709.81,first pass
900115,LOU-09,2026-03-04,Appeal,Standard,Verified,840.2,unique
217280,STL-02,2026-03-25,Intake,Standard,Reviewed,96.71,unique
379463,STL-02,2026-03-22,REF NOTE: Intake,Priority,Closed,906.12,first pass
738258,FFX-03,2026-03-10,Renewal,Standard,Open,844.28,first pass
759478,LOU-09,2026-03-20,Intake,Standard,,763.01,first pass
494899,STL-02,2026-03-24,Intake,Priority,,190.33,prefixed
867174,STL-02,2026-03-12,Appeal,Standard,Escalated,204.96,prefixed
831620,FFX-03,2026-03-04,Intake,Standard,Verified,749.78,first pass
545741,STL-02,2026-03-28,Intake,Priority,Closed,422.17,bare
548261,LOU-09,2026-03-22,REF NOTE: Intake,Standard,Open,54.44,bare
969082,BAL-11,2026-03-18,Intake,Priority,Reviewed,729.25,unique
700398,STL-02,2026-03-11,Appeal,Priority,Closed,532.31,bare
555135,LOU-09,2026-03-22,Renewal,Standard,,922.41,prefixed
516892,FFX-03,2026-03-26,Appeal,Standard,Closed,82.71,prefixed
570230,LOU-09,2026-03-30,REF NOTE: Intake,Priority,Escalated,884.27,bare
742677,LOU-09,2026-03-26,Intake,Standard,Escalated,95.64,bare
650018,STL-02,2026-03-12,Renewal,Priority,,475.71,prefixed
405852,FFX-03,2026-03-28,REF NOTE: Intake,Standard,Reviewed,37.34,first pass
813200,BAL-11,2026-03-31,Renewal,Priority,Verified,451.6,unique
976192,ARL-07,2026-03-25,REF NOTE: Intake,Priority,,377.8,first pass
422137,BAL-11,2026-03-29,Appeal,Standard,Reviewed,384.4,bare
767632,ARL-07,2026-03-27,Intake,Standard,Verified,983.25,unique
918115,ARL-07,2026-03-15,Appeal,Standard,Verified,792.68,prefixed
299956,STL-02,2026-03-07,REF NOTE: Intake,Priority,,216.32,bare
700625,FFX-03,2026-03-26,REF NOTE: Intake,Priority,,655.14,unique
726455,LOU-09,2026-03-22,Renewal,Standard,,973.29,bare
632490,ARL-07,2026-03-31,Renewal,Standard,Escalated,692.23,first pass
564668,STL-02,2026-03-07,Appeal,Standard,Open,102.82,bare
897343,FFX-03,2026-03-18,Intake,Standard,Closed,552.75,first pass
872629,STL-02,2026-03-05,Renewal,Standard,Escalated,968.23,prefixed
828751,ARL-07,2026-03-24,REF NOTE: Intake,Priority,,830.12,bare
300163,STL-02,2026-03-07,Renewal,Standard,,978.95,unique
509594,STL-02,2026-03-31,REF NOTE: Intake,Standard,,520.34,prefixed
701279,STL-02,2026-03-05,Intake,Standard,Closed,382.44,unique
173644,FFX-03,2026-03-08,Renewal,Standard,Open,629.37,unique
218109,STL-02,2026-03-26,Renewal,Priority,Reviewed,398.73,bare
413311,FFX-03,2026-03-24,Appeal,Priority,Closed,542.24,first pass
908453,FFX-03,2026-03-21,Intake,Priority,Closed,334.55,unique
225646,STL-02,2026-03-21,REF NOTE: Intake,Standard,Reviewed,17.98,unique
953735,FFX-03,2026-03-22,REF NOTE: Intake,Standard,Closed,836.42,first pass
867059,LOU-09,2026-03-09,Intake,Priority,Closed,206.4,bare
811120,LOU-09,2026-03-18,Renewal,Priority,Closed,152.29,prefixed
789365,ARL-07,2026-03-14,Renewal,Priority,Open,463.31,first pass
489483,ARL-07,2026-03-06,Intake,Standard,,654.22,first pass
310869,ARL-07,2026-03-18,Renewal,Standard,Open,435.08,bare
502919,ARL-07,2026-03-26,Intake,Priority,Open,931.5,bare
738693,FFX-03,2026-03-20,REF NOTE: Intake,Standard,,490.68,prefixed
742852,LOU-09,2026-03-17,Appeal,Priority,Open,261,unique
387399,ARL-07,2026-03-16,REF NOTE: Intake,Standard,Closed,95.89,bare
516323,ARL-07,2026-03-18,Appeal,Priority,Verified,981.7,bare
746221,STL-02,2026-03-16,Intake,Priority,Reviewed,781.29,bare
902849,BAL-11,2026-03-14,Appeal,Standard,Reviewed,290.82,first pass
141267,BAL-11,2026-03-24,Intake,Standard,Open,479.3,prefixed
816434,BAL-11,2026-03-29,Appeal,Priority,Closed,803.97,prefixed
905956,FFX-03,2026-03-16,Appeal,Priority,,859.8,prefixed
832619,STL-02,2026-03-19,Intake,Standard,Escalated,209.29,first pass
641613,ARL-07,2026-03-07,Intake,Standard,,934.96,first pass
811923,ARL-07,2026-03-28,Appeal,Standard,Escalated,841.59,bare
808880,ARL-07,2026-03-22,Intake,Priority,Closed,328.15,unique
165903,LOU-09,2026-03-17,Appeal,Priority,Closed,616.11,first pass
862679,BAL-11,2026-03-04,Appeal,Priority,Closed,795.43,unique
832347,STL-02,2026-03-20,Intake,Priority,Closed,620.04,unique
838191,ARL-07,2026-03-14,Appeal,Standard,Verified,579.73,bare
671130,FFX-03,2026-03-22,REF NOTE: Intake,Standard,Reviewed,653.67,bare
403628,BAL-11,2026-03-05,Appeal,Priority,Reviewed,84.74,prefixed
489028,ARL-07,2026-03-14,Renewal,Priority,,49.98,first pass
984670,STL-02,2026-03-23,Intake,Standard,Closed,936.76,bare
267998,FFX-03,2026-03-09,Intake,Priority,Reviewed,354.66,bare
470203,BAL-11,2026-03-19,Appeal,Priority,Verified,408.03,prefixed
303174,BAL-11,2026-03-12,Appeal,Standard,Open,605.41,first pass
941519,ARL-07,2026-03-11,Renewal,Priority,,193.87,first pass
330642,ARL-07,2026-03-13,Renewal,Standard,Closed,465.33,first pass
551691,ARL-07,2026-03-09,REF NOTE: Intake,Standard,Open,849.57,bare
361271,STL-02,2026-03-09,Appeal,Standard,Closed,808.98,first pass
128670,BAL-11,2026-03-13,Renewal,Standard,Verified,622.06,first pass
436764,FFX-03,2026-03-17,Intake,Standard,Reviewed,266.97,bare
